Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/G,Rate,QBR,AV
2001,24,MIN,QB,11,11,11,4-7-0,235,366,64.2,2612,14,3.8,13,3.6,237.5,83.3,,11
2002,25,MIN,QB,11,16,16,6-10-0,333,549,60.7,3853,18,3.3,23,4.2,240.8,75.3,,16
2003*,26,MIN,QB,11,14,14,7-7-0,295,454,65.0,3479,25,5.5,11,2.4,248.5,96.4,,16
2004*,27,MIN,QB,11,16,16,8-8-0,379,548,69.2,4717,39,7.1,11,2.0,294.8,110.9,,20
2005,28,MIN,qb,11,7,7,2-5-0,139,216,64.4,1564,6,2.8,12,5.6,223.4,72.0,,5
2006,29,MIA,qb,8,4,4,1-3-0,81,134,60.4,929,2,1.5,3,2.2,232.3,77.0,22.0,2
2007,30,OAK,qb,8,7,6,2-4-0,108,186,58.1,1331,5,2.7,5,2.7,190.1,78.0,42.7,4
2008,31,DET,qb,11,5,5,0-5-0,60,115,52.2,786,4,3.5,6,5.2,157.2,63.9,25.2,2
2003,23,ATL,qb,7,5,4,3-1-0,50,100,50.0,585,4,4.0,3,3.0,117.0,69.0,,4
2004*,24,ATL,QB,7,15,15,11-4-0,181,321,56.4,2313,14,4.4,12,3.7,154.2,78.1,,15
2005*,25,ATL,QB,7,15,15,8-7-0,214,387,55.3,2412,15,3.9,13,3.4,160.8,73.1,,13
2006,26,ATL,QB,7,16,16,7-9-0,204,388,52.6,2474,20,5.2,13,3.4,154.6,75.7,49.3,15
2009,29,PHI,rb,7,12,1,,6,13,46.2,86,1,7.7,0,0.0,7.2,93.7,52.9,1
2010*,30,PHI,QB,7,12,12,8-3-0,233,372,62.6,3018,21,5.6,6,1.6,251.5,100.2,65.0,15
2011,31,PHI,QB,7,13,13,7-6-0,253,423,59.8,3303,18,4.3,14,3.3,254.1,84.9,60.9,13
2012,32,PHI,QB,7,10,10,3-7-0,204,351,58.1,2362,12,3.4,10,2.8,236.2,78.1,47.0,7
2013,33,PHI,qb,7,7,6,2-4-0,77,141,54.6,1215,5,3.5,3,2.1,173.6,86.5,53.5,5
2014,34,NYJ,qb,1,10,3,1-2-0,64,121,52.9,604,3,2.5,2,1.7,60.4,68.3,21.4,2
2015,35,PIT,qb,2,5,3,2-1-0,40,66,60.6,371,2,3.0,1,1.5,74.2,79.8,31.8,2
2005,29,PHI,QB,5,9,9,4-5-0,211,357,59.1,2507,16,4.5,9,2.5,278.6,85.0,,7
2006,30,PHI,QB,5,10,10,5-5-0,180,316,57.0,2647,18,5.7,6,1.9,264.7,95.5,65.5,10
2007,31,PHI,QB,5,14,14,8-6-0,291,473,61.5,3324,19,4.0,7,1.5,237.4,89.9,56.3,11
2008,32,PHI,QB,5,16,16,9-6-1,345,571,60.4,3916,23,4.0,11,1.9,244.8,86.4,52.9,12
2009*,33,PHI,QB,5,14,14,10-4-0,267,443,60.3,3553,22,5.0,10,2.3,253.8,92.9,57.0,13
2010,34,WAS,QB,5,13,13,5-8-0,275,472,58.3,3377,14,3.0,15,3.2,259.8,77.1,48.2,8
2011,35,MIN,qb,5,6,6,1-5-0,94,156,60.3,1026,4,2.6,2,1.3,171.0,82.9,55.3,4
2008,25,TEN,qb,10,3,1,1-0-0,22,36,61.1,219,1,2.8,2,5.6,73.0,64.5,7.8,1
2009*,26,TEN,QB,10,12,10,8-2-0,152,259,58.7,1879,10,3.9,7,2.7,156.6,82.8,69.5,8
2010,27,TEN,QB,10,9,8,4-4-0,93,156,59.6,1255,10,6.4,3,1.9,139.4,98.6,59.8,6
2011,28,PHI,qb,9,6,3,1-2-0,66,114,57.9,866,4,3.5,9,7.9,144.3,60.8,41.9,3
2008*,39,NYJ,QB,4,16,16,9-7-0,343,522,65.7,3472,22,4.2,22,4.2,217.0,81.0,46.0,12
2009*,40,MIN,QB,4,16,16,12-4-0,363,531,68.4,4202,33,6.2,7,1.3,262.6,107.2,75.6,16
2010,41,MIN,QB,4,13,13,5-8-0,217,358,60.6,2509,11,3.1,19,5.3,193.0,69.9,35.2,5
2010*,31,NOR,QB,9,16,16,11-5-0,448,658,68.1,4620,33,5.0,22,3.3,288.8,90.9,70.6,14
2011*,32,NOR,QB,9,16,16,13-3-0,468,657,71.2,5476,46,7.0,14,2.1,342.3,110.6,83.0,20
2012*,33,NOR,QB,9,16,16,7-9-0,422,670,63.0,5177,43,6.4,19,2.8,323.6,96.3,68.7,15
2013*,34,NOR,QB,9,16,16,11-5-0,446,650,68.6,5162,39,6.0,12,1.8,322.6,104.7,69.2,17
2014*,35,NOR,QB,9,16,16,7-9-0,456,659,69.2,4952,33,5.0,17,2.6,309.5,97.0,74.8,16
2015,36,NOR,QB,9,15,15,7-8-0,428,627,68.3,4870,32,5.1,11,1.8,324.7,101.0,70.4,14
2016*,37,NOR,QB,9,16,16,7-9-0,471,673,70.0,5208,37,5.5,15,2.2,325.5,101.7,65.1,16
2017*,38,NOR,QB,9,16,16,11-5-0,386,536,72.0,4334,23,4.3,8,1.5,270.9,103.9,64.6,16
2018*,39,NOR,QB,9,15,15,13-2-0,364,489,74.4,3992,32,6.5,5,1.0,266.1,115.7,80.4,17
2017*+,40,NWE,QB,12,16,16,13-3-0,385,581,66.3,4577,32,5.5,8,1.4,286.1,102.8,73.2,19
2018*,41,NWE,QB,12,16,16,11-5-0,375,570,65.8,4355,29,5.1,11,1.9,272.2,97.7,66.6,14



