Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/G,Rate,QBR,AV
2000*,23,MIN,QB,11,16,16,11-5-0,297,474,62.7,3937,33,7.0,16,3.4,246.1,98.0,,21
2001,21,ATL,qb,7,8,2,1-1-0,50,113,44.2,785,2,1.8,3,2.7,98.1,62.7,,4
2002*,22,ATL,QB,7,15,15,8-6-1,231,421,54.9,2936,16,3.8,8,1.9,195.7,81.6,,17
1999,23,PHI,qb,5,12,6,2-4-0,106,216,49.1,948,8,3.7,7,3.2,79.0,60.1,,1
2000*,24,PHI,QB,5,16,16,11-5-0,330,569,58.0,3365,21,3.7,13,2.3,210.3,77.8,,16
2001*,25,PHI,QB,5,16,16,11-5-0,285,493,57.8,3233,25,5.1,12,2.4,202.1,84.3,,14
2002*,26,PHI,QB,5,10,10,7-3-0,211,361,58.4,2289,17,4.7,6,1.7,228.9,86.0,,11
2003*,27,PHI,QB,5,16,16,12-4-0,275,478,57.5,3216,16,3.3,11,2.3,201.0,79.6,,15
2004*,28,PHI,QB,5,15,15,13-2-0,300,469,64.0,3875,31,6.6,8,1.7,258.3,104.7,,16
2006*,23,TEN,QB,10,15,13,8-5-0,184,357,51.5,2199,12,3.4,13,3.6,146.6,66.7,59.6,9
2007,24,TEN,QB,10,15,15,9-6-0,238,382,62.3,2546,9,2.4,17,4.5,169.7,71.1,50.8,9
1992*,23,GNB,QB,4,15,13,8-5-0,302,471,64.1,3227,18,3.8,13,2.8,215.1,85.3,,12
1993*,24,GNB,QB,4,16,16,9-7-0,318,522,60.9,3303,19,3.6,24,4.6,206.4,72.2,,13
1994,25,GNB,QB,4,16,16,9-7-0,363,582,62.4,3882,33,5.7,14,2.4,242.6,90.7,,16
1995*+,26,GNB,QB,4,16,16,11-5-0,359,570,63.0,4413,38,6.7,13,2.3,275.8,99.5,,18
1996*+,27,GNB,QB,4,16,16,13-3-0,325,543,59.9,3899,39,7.2,13,2.4,243.7,95.8,,17
1997*+,28,GNB,QB,4,16,16,13-3-0,304,513,59.3,3867,35,6.8,16,3.1,241.7,92.6,,17
1998,29,GNB,QB,4,16,16,11-5-0,347,551,63.0,4212,31,5.6,23,4.2,263.3,87.8,,16
1999,30,GNB,QB,4,16,16,8-8-0,341,595,57.3,4091,22,3.7,23,3.9,255.7,74.7,,13
2000,31,GNB,QB,4,16,16,9-7-0,338,580,58.3,3812,20,3.4,16,2.8,238.3,78.0,,12
2001*,32,GNB,QB,4,16,16,12-4-0,314,510,61.6,3921,32,6.3,15,2.9,245.1,94.1,,15
2002*,33,GNB,QB,4,16,16,12-4-0,341,551,61.9,3658,27,4.9,16,2.9,228.6,85.6,,13
2003*,34,GNB,QB,4,16,16,10-6-0,308,471,65.4,3361,32,6.8,21,4.5,210.1,90.4,,14
2004,35,GNB,QB,4,16,16,10-6-0,346,540,64.1,4088,30,5.6,17,3.1,255.5,92.4,,14
2005,36,GNB,QB,4,16,16,4-12-0,372,607,61.3,3881,20,3.3,29,4.8,242.6,70.9,,9
2006,37,GNB,QB,4,16,16,8-8-0,343,613,56.0,3885,18,2.9,18,2.9,242.8,72.7,43.8,9
2007*,38,GNB,QB,4,16,16,13-3-0,356,535,66.5,4155,28,5.2,15,2.8,259.7,95.7,70.6,14
2001,22,SDG,,9,1,0,,15,27,55.6,221,1,3.7,0,0.0,221.0,94.8,,1
2002,23,SDG,QB,9,16,16,8-8-0,320,526,60.8,3284,17,3.2,16,3.0,205.3,76.9,,10
2003,24,SDG,QB,9,11,11,2-9-0,205,356,57.6,2108,11,3.1,15,4.2,191.6,67.5,,6
2004*,25,SDG,QB,9,15,15,11-4-0,262,400,65.5,3159,27,6.8,7,1.8,210.6,104.8,,17
2005,26,SDG,QB,9,16,16,9-7-0,323,500,64.6,3576,24,4.8,15,3.0,223.5,89.2,,15
2006*+,27,NOR,QB,9,16,16,10-6-0,356,554,64.3,4418,26,4.7,11,2.0,276.1,96.2,69.5,15
2007,28,NOR,QB,9,16,16,7-9-0,440,652,67.5,4423,28,4.3,18,2.8,276.4,89.4,68.6,14
2008*,29,NOR,QB,9,16,16,8-8-0,413,635,65.0,5069,34,5.4,17,2.7,316.8,96.2,65.9,17
2009*,30,NOR,QB,9,15,15,13-2-0,363,514,70.6,4388,34,6.6,11,2.1,292.5,109.6,83.4,16
2001*,24,NWE,QB,12,15,14,11-3-0,264,413,63.9,2843,18,4.4,12,2.9,189.5,86.5,,12
2002,25,NWE,QB,12,16,16,9-7-0,373,601,62.1,3764,28,4.7,14,2.3,235.3,85.7,,13
2003,26,NWE,QB,12,16,16,14-2-0,317,527,60.2,3620,23,4.4,12,2.3,226.3,85.9,,11
2004*,27,NWE,QB,12,16,16,14-2-0,288,474,60.8,3692,28,5.9,14,3.0,230.8,92.6,,15
2005*,28,NWE,QB,12,16,16,10-6-0,334,530,63.0,4110,26,4.9,14,2.6,256.9,92.3,,15
2006,29,NWE,QB,12,16,16,12-4-0,319,516,61.8,3529,24,4.7,12,2.3,220.6,87.9,67.2,14
2007*+,30,NWE,QB,12,16,16,16-0-0,398,578,68.9,4806,50,8.7,8,1.4,300.4,117.2,88.5,24
2009*,32,NWE,QB,12,16,16,10-6-0,371,565,65.7,4398,28,5.0,13,2.3,274.9,96.2,73.2,16
2010*+,33,NWE,QB,12,16,16,14-2-0,324,492,65.9,3900,36,7.3,4,0.8,243.8,111.0,78.3,18
2011*,34,NWE,QB,12,16,16,13-3-0,401,611,65.6,5235,39,6.4,12,2.0,327.2,105.6,75.2,21
2012*,35,NWE,QB,12,16,16,12-4-0,401,637,63.0,4827,34,5.3,8,1.3,301.7,98.7,76.1,18
2013*,36,NWE,QB,12,16,16,12-4-0,380,628,60.5,4343,25,4.0,11,1.8,271.4,87.3,62.1,13
2014*,37,NWE,QB,12,16,16,12-4-0,373,582,64.1,4109,33,5.7,9,1.5,256.8,97.4,76.2,16
2015*,38,NWE,QB,12,16,16,12-4-0,402,624,64.4,4770,36,5.8,7,1.1,298.1,102.2,68.0,17
2016*,39,NWE,QB,12,12,12,11-1-0,291,432,67.4,3554,28,6.5,2,0.5,296.2,112.2,79.1,13



