Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,Int,Y/G,AV
2000,23,NWE,QB,12,1,0,,1,3,33.3,6,0,0,6.0,0
2001,24,NWE,QB,12,15,14,11-3-0,264,413,63.9,2843,18,12,189.5,12
2002,25,NWE,QB,12,16,16,9-7-0,373,601,62.1,3764,28,14,235.3,13
2003,26,NWE,QB,12,16,16,14-2-0,317,527,60.2,3620,23,12,226.3,11
2004,27,NWE,QB,12,16,16,14-2-0,288,474,60.8,3692,28,14,230.8,15
2005,28,NWE,QB,12,16,16,10-6-0,334,530,63.0,4110,26,14,256.9,15
2006,29,NWE,QB,12,16,16,12-4-0,319,516,61.8,3529,24,12,220.6,14
2007,30,NWE,QB,12,16,16,16-0-0,398,578,68.9,4806,50,8,300.4,24
2008,31,NWE,qb,12,1,1,1-0-0,7,11,63.6,76,0,0,76.0,0
2009,32,NWE,QB,12,16,16,10-6-0,371,565,65.7,4398,28,13,274.9,16
2010,33,NWE,QB,12,16,16,14-2-0,324,492,65.9,3900,36,4,243.8,18
2011,34,NWE,QB,12,16,16,13-3-0,401,611,65.6,5235,39,12,327.2,21
2012,35,NWE,QB,12,16,16,12-4-0,401,637,63.0,4827,34,8,301.7,18
2013,36,NWE,QB,12,16,16,12-4-0,380,628,60.5,4343,25,11,271.4,13
2014,37,NWE,QB,12,16,16,12-4-0,373,582,64.1,4109,33,9,256.8,16
2015,38,NWE,QB,12,16,16,12-4-0,402,624,64.4,4770,36,7,298.1,17
2016,39,NWE,QB,12,12,12,11-1-0,291,432,67.4,3554,28,2,296.2,13
2017,40,NWE,QB,12,16,16,13-3-0,385,581,66.3,4577,32,8,286.1,19
2018,41,NWE,QB,12,16,16,11-5-0,375,570,65.8,4355,29,11,272.2,14
2019,42,NWE,QB,12,12,12,10-2-0,297,486,61.1,3268,18,6,272.3,
