Year,Age,Tm,Pos,No.,G,GS,Cmp,Att,Cmp%,Yds,TD,Int
2000,23,NWE,QB,12,1,0,1,3,33.3,6,0,0
2001,24,NWE,QB,12,15,14,264,413,63.9,2843,18,12
2002,25,NWE,QB,12,16,16,373,601,62.1,3764,28,14
2003,26,NWE,QB,12,16,16,317,527,60.2,3620,23,12
2004,27,NWE,QB,12,16,16,288,474,60.8,3692,28,14
2005,28,NWE,QB,12,16,16,334,530,63.0,4110,26,14
2006,29,NWE,QB,12,16,16,319,516,61.8,3529,24,12
2007,30,NWE,QB,12,16,16,398,578,68.9,4806,50,8
2008,31,NWE,QB,12,1,1,7,11,63.6,76,0,0
2009,32,NWE,QB,12,16,16,371,565,65.7,4398,28,13
2010,33,NWE,QB,12,16,16,324,492,65.9,3900,36,4
2011,34,NWE,QB,12,16,16,401,611,65.6,5235,39,12
2012,35,NWE,QB,12,16,16,401,637,63.0,4827,34,8
2013,36,NWE,QB,12,16,16,380,628,60.5,4343,25,11
2014,37,NWE,QB,12,16,16,373,582,64.1,4109,33,9
2015,38,NWE,QB,12,16,16,402,624,64.4,4770,36,7
2016,39,NWE,QB,12,12,12,291,432,67.4,3554,28,2
2017,40,NWE,QB,12,16,16,385,581,66.3,4577,32,8
2018,41,NWE,QB,12,16,16,375,570,65.8,4355,29,11
2019,42,NWE,QB,12,12,12,297,486,61.1,3268,18,6
